Title,Creator,Category,Tags,Synopsis,Confidence,Episode Number,Episode Date,Edition,Source URL,Secondary URLs,Episode Video URL,Episode Blog URL
MIDI Music Box,Tim Alex Jacobs (aka Mitxela),project,music,Musical instrument or audio project.,high,76,2018-03-28,main,https://mitxela.com/projects/musicbox,https://github.com/mitxela/musicbox,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
KNIFE SHARPENING ANGLE COACH WITH BLUETOOTH & ARDUINO,Becky Stern,project,arduino,Maker project combining electronics and design.,high,76,2018-03-28,main,https://www.instructables.com/id/Bluetooth-Arduino-BNO055-Knife-Sharpening-Angle-Co/,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Makey Makey,,project,makey-makey,Maker project combining electronics and design.,high,76,2018-03-28,main,https://www.amazon.com/exec/obidos/ASIN/B008SFLEPE/ctmakerupdate-20,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Scratch Games for Makey Makey,,project,gaming; makey-makey,Interactive game or gaming project.,high,76,2018-03-28,main,https://scratch.mit.edu/search/projects?q=makey+makey,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Google Offline T-Rex Game,,project,gaming,Interactive game or gaming project.,high,76,2018-03-28,main,http://apps.thecodepost.org/trex/trex.html,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Disco is Dead game,,project,gaming,Interactive game or gaming project.,high,76,2018-03-28,main,http://thirdfloorgames.wixsite.com/discoisdead,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
MakeyMakey Project Gallery,,project,,MakeyMakey Project Gallery,low,76,2018-03-28,main,https://labz.makeymakey.com/remixes,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Game Maker v2,,tip,gaming,"Tool, resource, or tip for makers.",high,76,2018-03-28,main,https://www.yoyogames.com/get,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Unity Personal,,tip,game-engine,"Tool, resource, or tip for makers.",high,76,2018-03-28,main,https://store.unity.com/products/unity-personal,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
Issue 5 of Hackspace magazine is out,,tip,space,Magazine or publication about making.,high,76,2018-03-28,main,https://hackspace.raspberrypi.org/issues/5,,https://youtube.com/watch?v=Fmd4MCOCBI8,https://www.makerprojectlab.com/alternative-controller-maker-update-76/
