Title,Creator,Category,Tags,Synopsis,Confidence,Episode Number,Episode Date,Edition,Source URL,Secondary URLs,Episode Video URL,Episode Blog URL
Bubble Talk: Turn Your Speech Into Bubbles!,KyungYun,project,speech-to-text; visualization; art; interactive; speech,Interactive art converting speech to bubbles.,high,108,2019-01-17,main,https://www.instructables.com/id/Bubble-Talk-Turn-Your-Speech-Into-Bubbles/,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Hoverboard Lawn Mower (Hovermower?),lmu34,project,hoverboard; repurposing; lawn-mower; vehicles; diy,Lawn mower powered by hoverboard technology.,high,108,2019-01-17,main,https://www.instructables.com/id/Hoverboard-Lawn-Mower-Hovermower/,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Origami Lantern: 3D Printing on Paper,Eammon Littler,project,3d-printing; paper; origami; lighting; papercraft,Hybrid 3D-printed and paper origami lantern.,high,108,2019-01-17,main,https://www.instructables.com/id/Origami-Lantern-3D-Printing-on-Paper/,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Origami Printing Web app,,project,software; web-app; origami; design; pattern,Web app for designing origami patterns.,high,108,2019-01-17,main,https://ealitt.github.io/origami-printing/,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Spinning Disc Step Sequencer,John Park,project,music; sequencer; electronics; mechanical; step-sequencer,Mechanical rotary music sequencer.,high,108,2019-01-17,main,https://learn.adafruit.com/spinning-disc-step-sequencer,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Circuit Sculpture Contest Entries,,project,circuit-sculpture; electronics; art; contest; competition,Artistic electronics sculptures from contest.,high,108,2019-01-17,main,https://hackaday.io/submissions/circuit-sculpture-contest/list,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Freeform Atari Punk Console,Emily Velasco,project,circuit-sculpture; music; synthesizer; electronics; freeform,Handwired circuit synthesizer.,high,108,2019-01-17,main,https://hackaday.io/project/162958-freeform-rgb-atari-punk-console,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
https://blog.hackster.io/this-freeform-atari-punk-console-generates-square-wave-tones-in-style-247f3987b555,,project,music; electronics; atari-punk; synth,Freeform Atari Punk Console project unable to fetch.,low,108,2019-01-17,main,https://blog.hackster.io/this-freeform-atari-punk-console-generates-square-wave-tones-in-style-247f3987b555,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Cool Tool: Hobby Knives Roundup,,tip,tool-review; cutting; knives; hobby-tools,Comparative review of hobby craft knives.,high,108,2019-01-17,main,https://youtu.be/AtrG0b3tQME,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
$16 Raspberry Pi Case Features LCD Touchscreen and Stylus,,tip,raspberry-pi; case; touchscreen; lcd; affordable,Affordable Raspberry Pi case with touchscreen.,high,108,2019-01-17,main,https://blog.hackster.io/16-raspberry-pi-case-features-lcd-touchscreen-and-stylus-ac307ba3498f,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
Modular Feeders For SMD Component Tape,Stanoba,tip,electronics; smd; 3d-printing; automation; feeder,3D-printable modular SMD component feeders.,high,108,2019-01-17,main,http://blog.oshpark.com/2019/01/08/modular-feeders-for-smd-component-tape/,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
https://www.thingiverse.com/thing:2414955,,tip,,No content available for this row.,low,108,2019-01-17,main,https://www.thingiverse.com/thing:2414955,,https://youtube.com/watch?v=dUHPof55C0o,https://www.makerprojectlab.com/speech-bubbles-maker-update-108/
