Title,Creator,Category,Tags,Synopsis,Confidence,Episode Number,Episode Date,Edition,Source URL,Secondary URLs,Episode Video URL,Episode Blog URL
Motorized Camera Slider,,project,photography,Project: Motorized Camera Slider.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/circuitpython-motorized-camera-slider,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Bluefruit TFT Gizmo ANCS Notifier for iOS,,project,adafruit,Project: Bluefruit TFT Gizmo ANCS Notifier for iOS.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/ancs-gizmo,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Sister Night Goggles,,project,adafruit,Project: Sister Night Goggles.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/watchmen-sister-night-circuitpython-neopixel-goggles,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Hide & Seek ornament,,project,decorative; wearables; adafruit; seasonal,Project: Hide & Seek ornament.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/hide-n-seek-bluefruit-ornament,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Neopixel Christmas Tree,,project,neopixel; seasonal,Project: Neopixel Christmas Tree.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/wooden-neopixel-xmas-tree,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
CircuitPython Libraries and Jupyter Notebook on any Computer with MCP2221,,tip,adafruit,Resource: CircuitPython Libraries and Jupyter Notebook on any Compu....,high,154,2020-01-02,adafruit,https://learn.adafruit.com/jupyter-on-any-computer-with-circuitpython-libraries-and-mcp2221,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Bluefruit Playground App,,tip,adafruit; bluetooth; esp32; app,Adafruit's Bluefruit Playground companion app for Bluetooth boards.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/bluefruit-playground-app/overview,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
S is for Soldering Iron,,tip,metal; soldering,Resource: S is for Soldering Iron.,high,154,2020-01-02,adafruit,https://learn.adafruit.com/circuit-playground-s-is-for-soldering-iron,,https://youtube.com/watch?v=29NC1po7BQk,https://www.makerprojectlab.com/cyberslider-maker-update-154-adafruit-edition/
Analog Future,Parker Heyl,project,diy; maker,Analog Future (by Parker Heyl).,high,153,2019-12-26,main,http://www.interactivearchitecture.org/lab-projects/analog-future,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Ball Balancing PID System,Johan Link,project,diy; maker,Ball Balancing PID System (by Johan Link).,high,153,2019-12-26,main,https://www.instructables.com/id/Ball-Balancing-PID-System/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Raspberry Pi Stop-Motion Animation Rig,wonderfulidea,project,animation; raspberry-pi,Raspberry Pi Stop-Motion Animation Rig (by wonderfulidea).,high,153,2019-12-26,main,https://www.instructables.com/id/Raspberry-Pi-Stop-Motion-Animation-Rig/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Word Clock Controlled by 114 Servos,mosivers,project,timekeeping,Word Clock Controlled by 114 Servos (by mosivers).,high,153,2019-12-26,main,https://www.instructables.com/id/Word-Clock-Controlled-by-114-Servos/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Greatest Holdies: I Hacked an Old Phone to Play the Greatest Hold Music.,Fuzzy-Wobble,project,music,Greatest Holdies: I Hacked an Old Phone to Play the Great... (by Fuzzy-Wobble).,high,153,2019-12-26,main,https://www.instructables.com/id/Greatest-Holdies-I-Hacked-an-Old-Phone-to-Play-the/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Hacking an Etch-A-Sketch with a Raspberry Pi and camera: Etch-A-Snap!,,project,hardware; raspberry-pi; photography,Project: Hacking an Etch-A-Sketch with a Raspberry Pi and camera: ....,high,153,2019-12-26,main,https://www.twobitarcade.net/article/etch-a-snap/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
Final Fantasy Black Mage Cosplay,Cody Sass,project,cosplay,Final Fantasy Black Mage Cosplay (by Cody Sass).,high,153,2019-12-26,main,https://blog.adafruit.com/2019/05/21/this-final-fantasy-black-mage-cosplay-has-all-the-feels/,,https://youtube.com/watch?v=GDAZEBGzxa8,https://www.makerprojectlab.com/5-favorite-maker-projects-of-2019-maker-update-153/
